datetime,temp,humidity,windspeed,windspeed,casual,registered,count,year,hour,season_1,season_2,season_3,season_4,holiday_0,holiday_1,workingday_0,workingday_1,weather_1,weather_2,weather_3,weather_4,dayofweek_0,dayofweek_1,dayofweek_2,dayofweek_3,dayofweek_4,dayofweek_5,dayofweek_6,log_count,log_casual,log_registered,log_windspeed
2011-01-01 0:00,0.224489796,81,0,10.40776036,3,13,16,2011,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2.833213344,1.386294361,2.63905733,2.434293857
2011-01-01 1:00,0.204081633,80,0,10.40776036,8,32,40,2011,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3.713572067,2.197224577,3.496507561,2.434293857
2011-01-01 2:00,0.204081633,80,0,10.49686799,5,27,32,2011,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3.496507561,1.791759469,3.33220451,2.44207465
2011-01-01 3:00,0.224489796,75,0,11.56492037,3,10,13,2011,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2.63905733,1.386294361,2.397895273,2.530908833
2011-01-01 4:00,0.224489796,75,0,11.56492037,0,1,1,2011,4,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.693147181,0,0.693147181,2.530908833
2011-01-01 5:00,0.224489796,75,6.0032,6.0032,0,1,1,2011,5,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.693147181,0,0.693147181,1.946367187
2011-01-01 6:00,0.204081633,80,0,10.688897,2,0,2,2011,6,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.098612289,1.098612289,0,2.458639417
2011-01-01 7:00,0.183673469,86,0,11.00511566,1,2,3,2011,7,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.386294361,0.693147181,1.098612289,2.485332864
2011-01-01 8:00,0.224489796,75,0,12.58499298,1,7,8,2011,8,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2.197224577,0.693147181,2.079441542,2.608965726
2011-01-01 9:00,0.306122449,76,0,14.14311463,8,6,14,2011,9,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2.708050201,2.197224577,1.945910149,2.717545949
2011-01-01 10:00,0.367346939,76,16.9979,16.9979,12,24,36,2011,10,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3.610917913,2.564949357,3.218875825,2.890255084
2011-01-01 11:00,0.346938776,81,19.0012,19.0012,26,30,56,2011,11,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4.043051268,3.295836866,3.433987204,2.995792272
2011-01-01 12:00,0.408163265,77,19.0012,19.0012,29,55,84,2011,12,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4.442651256,3.401197382,4.025351691,2.995792272
2011-01-01 13:00,0.448979592,72,19.9995,19.9995,47,47,94,2011,13,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4.553876892,3.871201011,3.871201011,3.044498628
2011-01-01 14:00,0.448979592,72,19.0012,19.0012,35,71,106,2011,14,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4.672828834,3.583518938,4.276666119,2.995792272
2011-01-01 15:00,0.428571429,77,19.9995,19.9995,40,70,110,2011,15,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4.709530201,3.713572067,4.262679877,3.044498628
2011-01-01 16:00,0.408163265,82,19.9995,19.9995,41,52,93,2011,16,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4.543294782,3.737669618,3.970291914,3.044498628
2011-01-01 17:00,0.428571429,82,19.0012,19.0012,15,52,67,2011,17,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4.219507705,2.772588722,3.970291914,2.995792272
2011-01-01 18:00,0.408163265,88,16.9979,16.9979,9,26,35,2011,18,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3.583518938,2.302585093,3.295836866,2.890255084
2011-01-01 19:00,0.408163265,88,16.9979,16.9979,6,31,37,2011,19,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3.63758616,1.945910149,3.465735903,2.890255084
2011-01-01 20:00,0.387755102,87,16.9979,16.9979,11,25,36,2011,20,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3.610917913,2.48490665,3.258096538,2.890255084
2011-01-01 21:00,0.387755102,87,12.998,12.998,3,31,34,2011,21,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3.555348061,1.386294361,3.465735903,2.638914462
2011-01-01 22:00,0.387755102,94,15.0013,15.0013,11,17,28,2011,22,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3.36729583,2.48490665,2.890371758,2.772669969
2011-01-01 23:00,0.448979592,88,19.9995,19.9995,15,24,39,2011,23,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3.688879454,2.772588722,3.218875825,3.044498628
2011-01-02 0:00,0.448979592,88,19.9995,19.9995,4,13,17,2011,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2.890371758,1.609437912,2.63905733,3.044498628
2011-01-02 1:00,0.428571429,94,16.9979,16.9979,1,16,17,2011,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2.890371758,0.693147181,2.833213344,2.890255084
2011-01-02 2:00,0.408163265,100,19.0012,19.0012,1,8,9,2011,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2.302585093,0.693147181,2.197224577,2.995792272
2011-01-02 3:00,0.448979592,94,12.998,12.998,2,4,6,2011,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1.945910149,1.098612289,1.609437912,2.638914462
